name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_cost
Aaniiih Nakoda College,Montana,MT,Public,2,0.0,2380,2380,2380,2380,4760
Abilene Christian University,Texas,TX,Private,4,10350.0,34850,45200,34850,45200,180800
Abraham Baldwin Agricultural College,Georgia,GA,Public,2,8474.0,4128,12602,12550,21024,25204
Academy College,Minnesota,MN,For Profit,2,0.0,17661,17661,17661,17661,35322
Academy of Art University,California,CA,For Profit,4,16648.0,27810,44458,27810,44458,177832
Adams State University,Colorado,CO,Public,4,8782.0,9440,18222,20456,29238,72888
Adelphi University,New York,NY,Private,4,16030.0,38660,54690,38660,54690,218760
Adirondack Community College,New York,NY,Public,2,11660.0,5375,17035,9935,21595,34070
Adrian College,Michigan,MI,Private,4,11318.0,37087,48405,37087,48405,193620
Advanced Technology Institute,Virginia,VA,For Profit,2,0.0,13680,13680,13680,13680,27360
Adventist University of Health Sciences,Florida,FL,Private,4,4200.0,15150,19350,15150,19350,77400
Agnes Scott College,Georgia,GA,Private,4,12330.0,41160,53490,41160,53490,213960
Aiken Technical College,South Carolina,SC,Public,2,0.0,5160,5160,8010,8010,10320
Aims Community College,Colorado,CO,Public,2,0.0,2281,2281,13018,13018,4562
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4,8379.0,9698,18077,17918,26297,72308
Alabama Southern Community College,Alabama,AL,Public,2,0.0,4440,4440,8880,8880,8880
Alabama State University,Alabama,AL,Public,4,5422.0,11068,16490,19396,24818,65960
Alamance Community College,North Carolina,NC,Public,2,0.0,2310,2310,8070,8070,4620
Alaska Bible College,Alaska,AK,Private,4,5700.0,9300,15000,9300,15000,60000
Alaska Pacific University,Alaska,AK,Private,4,7300.0,20830,28130,20830,28130,112520
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4,10920.0,35105,46025,35105,46025,184100
Albany State University,Georgia,GA,Public,4,8878.0,6726,15604,19802,28680,62416
Albany Technical College,Georgia,GA,Public,2,0.0,3246,3246,5916,5916,6492
Albertus Magnus College,Connecticut,CT,Private,4,13200.0,32060,45260,32060,45260,181040
Albion College,Michigan,MI,Private,4,12380.0,45775,58155,45775,58155,232620
Albright College,Pennsylvania,PA,Private,4,12070.0,45306,57376,45306,57376,229504
Alcorn State University,Mississippi,MS,Public,4,9608.0,7144,16752,7144,16752,67008
Alderson-Broaddus University,West Virginia,WV,Private,4,8860.0,27910,36770,27910,36770,147080
Alexandria Technical and Community College,Minnesota,MN,Public,2,0.0,5416,5416,5416,5416,10832
Alfred University,New York,NY,Private,4,12516.0,33484,46000,33484,46000,184000
Allan Hancock College,California,CA,Public,2,0.0,1418,1418,7898,7898,2836
Allegany College of Maryland,Maryland,MD,Public,2,0.0,4140,4140,9210,9210,8280
Allegheny College,Pennsylvania,PA,Private,4,12140.0,47540,59680,47540,59680,238720
Allegheny Wesleyan College,Ohio,OH,Private,4,4000.0,6400,10400,6400,10400,41600
Allen College,Iowa,IA,Private,4,7282.0,19970,27252,19970,27252,109008
Allen County Community College,Kansas,KS,Public,2,5070.0,3150,8220,3150,8220,16440
Allen University,South Carolina,SC,Private,4,7230.0,13340,20570,13340,20570,82280
Alliant International University,California,CA,Private,4,0.0,18000,18000,18000,18000,72000
Alma College,Michigan,MI,Private,4,10998.0,40258,51256,40258,51256,205024
Alpena Community College,Michigan,MI,Public,2,0.0,4530,4530,6840,6840,9060
Alvernia University,Pennsylvania,PA,Private,4,0.0,34885,34885,34885,34885,139540
Alverno College,Wisconsin,WI,Private,4,8546.0,28302,36848,28302,36848,147392
Alvin Community College,Texas,TX,Public,2,0.0,1998,1998,4818,4818,3996
Amarillo College,Texas,TX,Public,2,0.0,2670,2670,5880,5880,5340
Amberton University,Texas,TX,Private,4,0.0,12840,12840,12840,12840,51360
American Academy McAllister Institute of Funeral Service,New York,NY,Private,2,0.0,17160,17160,17160,17160,34320
American Academy of Art,Illinois,IL,Private,4,0.0,34100,34100,34100,34100,136400
American Academy of Dramatic Arts,New York,NY,Private,2,17955.0,35160,53115,35160,53115,106230
American Academy of Dramatic Arts: West,California,CA,Private,2,13255.0,35160,48415,35160,48415,96830
American Baptist College,Tennessee,TN,Private,4,8640.0,10950,19590,10950,19590,78360
American Indian College of the Assemblies of God,Arizona,AZ,Private,4,6250.0,958,7208,958,7208,28832
American International College,Massachusetts,MA,Private,4,14300.0,35680,49980,35680,49980,199920
American Jewish University,California,CA,Private,4,17362.0,31826,49188,31826,49188,196752
American National University: Charlottesville,Virginia,VA,For Profit,2,0.0,18735,18735,18735,18735,37470
American National University: Danville,Virginia,VA,For Profit,2,0.0,18735,18735,18735,18735,37470
American National University: Harrisonburg,Virginia,VA,For Profit,2,0.0,18735,18735,18735,18735,37470
American National University: Lynchburg,Virginia,VA,For Profit,2,0.0,18735,18735,18735,18735,37470
American National University: Martinsville,Virginia,VA,For Profit,2,0.0,18735,18735,18735,18735,37470
American National University: Salem,Virginia,VA,For Profit,4,0.0,18735,18735,18735,18735,74940
American  University SystemFor-profit,West Virginia,WV,Public,4,0.0,8150,8150,8150,8150,32600
American River College,California,CA,Public,2,0.0,1416,1416,9546,9546,2832
American Samoa Community College,,AS,Public,2,0.0,3700,3700,3700,3700,7400
American University,,DC,Private,4,14880.0,48459,63339,48459,63339,253356
American University of Puerto Rico,,PR,Private,4,0.0,6946,6946,6946,6946,27784
Amherst College,Massachusetts,MA,Private,4,14740.0,56426,71166,56426,71166,284664
Amridge University,Alabama,AL,Private,4,0.0,6900,6900,6900,6900,27600
Ancilla College,Indiana,IN,Private,2,9600.0,17330,26930,17330,26930,53860
Anderson University,South Carolina,SC,Private,4,9830.0,28000,37830,28000,37830,151320
Anderson University,Indiana,IN,Private,4,9890.0,30450,40340,30450,40340,161360
Andrew College,Georgia,GA,Private,2,10636.0,17388,28024,17388,28024,56048
Andrews University,Michigan,MI,Private,4,9078.0,29288,38366,29288,38366,153464
Angelina College,Texas,TX,Public,2,5500.0,2625,8125,5535,11035,16250
Angelo State University,Texas,TX,Public,4,9130.0,8489,17619,20939,30069,70476
Anna Maria College,Massachusetts,MA,Private,4,14630.0,37860,52490,37860,52490,209960
Anne Arundel Community College,Maryland,MD,Public,2,0.0,4110,4110,12180,12180,8220
Anoka Technical College,Minnesota,MN,Public,2,0.0,5584,5584,5584,5584,11168
Anoka-Ramsey Community College,Minnesota,MN,Public,2,0.0,5073,5073,5073,5073,10146
Antelope Valley College,California,CA,Public,2,0.0,1420,1420,9760,9760,2840
Antioch College,Ohio,OH,Private,4,7640.0,35718,43358,35718,43358,173432
Antioch University Los Angeles,California,CA,Private,4,0.0,20670,20670,20670,20670,82680
Antioch University Midwest,Ohio,OH,Private,4,0.0,16210,16210,16210,16210,64840
Antioch University Santa Barbara,California,CA,Private,4,0.0,22575,22575,22575,22575,90300
Antioch University Seattle,Washington,WA,Private,4,0.0,27435,27435,27435,27435,109740
Apex School of Theology,North Carolina,NC,Private,4,0.0,6200,6200,6200,6200,24800
Appalachian Bible College,West Virginia,WV,Private,4,7960.0,14720,22680,14720,22680,90720
Appalachian State University,North Carolina,NC,Public,4,8304.0,7214,15518,22021,30325,62072
Aquinas College,Michigan,MI,Private,4,9332.0,32574,41906,32574,41906,167624
Aquinas College,Tennessee,TN,Private,4,0.0,23600,23600,23600,23600,94400
Arapahoe Community College,Colorado,CO,Public,2,0.0,4811,4811,18671,18671,9622
Arcadia University,Pennsylvania,PA,Private,4,13800.0,43580,57380,43580,57380,229520
Arizona Christian University,Arizona,AZ,Private,4,10674.0,26796,37470,26796,37470,149880
Arizona State University,Arizona,AZ,Public,4,12648.0,10822,23470,28336,40984,93880
Arizona Western College,Arizona,AZ,Public,2,6700.0,2520,9220,9510,16210,18440
Arkansas Baptist College,Arkansas,AR,Private,4,8826.0,8760,17586,8760,17586,70344
Arkansas Northeastern College,Arkansas,AR,Public,2,0.0,2450,2450,4250,4250,4900
Arkansas State University,Arkansas,AR,Public,4,8160.0,8608,16768,15298,23458,67072
Arkansas State University Mid-South,Arkansas,AR,Public,2,0.0,3274,3274,5014,5014,6548
Arkansas State University: Beebe,Arkansas,AR,Public,2,5280.0,3600,8880,5760,11040,17760
Arkansas State University: Mountain Home,Arkansas,AR,Public,2,0.0,3570,3570,5580,5580,7140
Arkansas State University: Newport,Arkansas,AR,Public,2,0.0,3480,3480,5310,5310,6960
Arkansas Tech University,Arkansas,AR,Public,4,7870.0,9068,16938,15848,23718,67752
Arlington Baptist University,Texas,TX,Private,4,6500.0,13190,19690,13190,19690,78760
Armstrong State University,Georgia,GA,Public,4,11385.0,6384,17769,19866,31251,71076
Art Academy of Cincinnati,Ohio,OH,Private,4,6700.0,33889,40589,33889,40589,162356
Art Center College of Design,California,CA,Private,4,0.0,43416,43416,43416,43416,173664
Art Institute of Houston,Texas,TX,For Profit,4,9600.0,24024,33624,24024,33624,134496
Art Institute of Philadelphia,Pennsylvania,PA,For Profit,4,0.0,14850,14850,14850,14850,59400
Art Institute of Phoenix,Arizona,AZ,For Profit,4,10928.0,21645,32573,21645,32573,130292
Art Institute of Pittsburgh,Pennsylvania,PA,For Profit,4,2758.0,23376,26134,23376,26134,104536
ASA College,New York,NY,For Profit,2,9500.0,14065,23565,14065,23565,47130
Asbury University,Kentucky,KY,Private,4,7160.0,30198,37358,30198,37358,149432
Asheville-Buncombe Technical Community College,North Carolina,NC,Public,2,0.0,2354,2354,8114,8114,4708
Ashford University,California,CA,For Profit,4,0.0,12160,12160,12160,12160,48640
Ashland Community and Technical College,Kentucky,KY,Public,2,0.0,5310,5310,18000,18000,10620
Ashland University,Ohio,OH,Private,4,9941.0,21342,31283,21342,31283,125132
Ashworth College,Georgia,GA,For Profit,2,0.0,1399,1399,1399,1399,2798
Asnuntuck Community College,Connecticut,CT,Public,2,0.0,4404,4404,13170,13170,8808
Assumption College,Massachusetts,MA,Private,4,12694.0,40958,53652,40958,53652,214608
Assumption College for Sisters,New Jersey,NJ,Private,2,0.0,5888,5888,5888,5888,11776
Athens State University,Alabama,AL,Public,4,0.0,6810,6810,12870,12870,27240
Athens Technical College,Georgia,GA,Public,2,0.0,3292,3292,5962,5962,6584
Atlanta Metropolitan State College,Georgia,GA,Public,2,0.0,4008,4008,12088,12088,8016
Atlanta Technical College,Georgia,GA,Public,2,0.0,3350,3350,6020,6020,6700
Atlantic Cape Community College,New Jersey,NJ,Public,2,0.0,5096,5096,8096,8096,10192
Atlantic University College,,PR,Private,4,0.0,4525,4525,4525,4525,18100
Auburn University,Alabama,AL,Public,4,13332.0,11276,24608,30524,43856,98432
Auburn University at Montgomery,Alabama,AL,Public,4,6980.0,10288,17268,22048,29028,69072
Augsburg University,Minnesota,MN,Private,4,10280.0,38800,49080,38800,49080,196320
Augusta Technical College,Georgia,GA,Public,2,0.0,3494,3494,6164,6164,6988
Augusta University,Georgia,GA,Public,4,9640.0,10758,20398,29796,39436,81592
Augustana College,Illinois,IL,Private,4,10572.0,42135,52707,42135,52707,210828
Augustana University,South Dakota,SD,Private,4,8248.0,33018,41266,33018,41266,165064
Aultman College of Nursing and Health Sciences,Ohio,OH,Private,2,0.0,18510,18510,18510,18510,37020
Aurora University,Illinois,IL,Private,4,11700.0,24260,35960,24260,35960,143840
Austin College,Texas,TX,Private,4,12527.0,39985,52512,39985,52512,210048
Austin Community College,Texas,TX,Public,2,0.0,2550,2550,13020,13020,5100
Austin Graduate School of Theology,Texas,TX,Private,4,0.0,11900,11900,11900,11900,47600
Austin Peay State University,Tennessee,TN,Public,4,10700.0,8411,19111,24467,35167,76444
Ave Maria University,Florida,FL,Private,4,11436.0,20850,32286,20850,32286,129144
Averett University,Virginia,VA,Private,4,9976.0,34400,44376,34400,44376,177504
Avila University,Missouri,MO,Private,4,7200.0,19900,27100,19900,27100,108400
Azusa Pacific University,California,CA,Private,4,10076.0,38880,48956,38880,48956,195824
Babson College,Massachusetts,MA,Private,4,16312.0,51104,67416,51104,67416,269664
Baker University,Kansas,KS,Private,4,8410.0,29830,38240,29830,38240,152960
Bakersfield College,California,CA,Public,2,0.0,1418,1418,7838,7838,2836
Baldwin Wallace University,Ohio,OH,Private,4,9554.0,32586,42140,32586,42140,168560
Ball State University,Indiana,IN,Public,4,10234.0,9896,20130,26468,36702,80520
Baltimore City Community College,Maryland,MD,Public,2,0.0,2893,2893,6973,6973,5786
Baptist Bible College,Missouri,MO,Private,4,7500.0,14150,21650,14150,21650,86600
Baptist College of Florida,Florida,FL,Private,4,4612.0,12300,16912,12300,16912,67648
Baptist College of Health Sciences,Tennessee,TN,Private,4,2900.0,14700,17600,14700,17600,70400
Baptist Missionary Association Theological Seminary,Texas,TX,Private,4,3150.0,6690,9840,6690,9840,39360
Baptist University of the Americas,Texas,TX,Private,4,2500.0,7800,10300,7800,10300,41200
Barclay College,Kansas,KS,Private,4,9300.0,19690,28990,19690,28990,115960
Bard College,New York,NY,Private,4,15488.0,54680,70168,54680,70168,280672
Bard College at Simon's Rock,Massachusetts,MA,Private,4,14916.0,55732,70648,55732,70648,282592
Barnard College,New York,NY,Private,4,17225.0,55032,72257,55032,72257,289028
Barry University,Florida,FL,Private,4,11100.0,29850,40950,29850,40950,163800
Barstow Community College,California,CA,Public,2,0.0,1391,1391,9131,9131,2782
Barton College,North Carolina,NC,Private,4,10120.0,30880,41000,30880,41000,164000
Barton County Community College,Kansas,KS,Public,2,5794.0,3440,9234,3440,9234,18468
Bastyr University,Washington,WA,Private,4,7590.0,26166,33756,26166,33756,135024
Bates College,Maine,ME,Private,4,15224.0,53794,69018,53794,69018,276072
Bates Technical College,Washington,WA,Public,2,0.0,4783,4783,10214,10214,9566
Baton Rouge Community College,Louisiana,LA,Public,2,0.0,3981,3981,8059,8059,7962
Bay College,Michigan,MI,Public,2,3200.0,4830,8030,8910,12110,16060
Bay Mills Community College,Michigan,MI,Public,2,0.0,3250,3250,3250,3250,6500
Bay Path University,Massachusetts,MA,Private,4,12799.0,34225,47024,34225,47024,188096
Bay State College,Massachusetts,MA,For Profit,2,13300.0,27750,41050,27750,41050,82100
Bayamon Central University,,PR,Private,4,0.0,5775,5775,5775,5775,23100
Baylor University,Texas,TX,Private,4,12595.0,45727,58322,45727,58322,233288
Beacon College,Florida,FL,Private,4,11390.0,39016,50406,39016,50406,201624
Beaufort County Community College,North Carolina,NC,Public,2,0.0,2344,2344,8104,8104,4688
Becker College,Massachusetts,MA,Private,4,13800.0,39200,53000,39200,53000,212000
Beckfield College,Kentucky,KY,For Profit,4,0.0,4000,4000,4000,4000,16000
Beis Medrash Heichal Dovid,New York,NY,Private,4,4500.0,9500,14000,9500,14000,56000
Belhaven University,Mississippi,MS,Private,4,8500.0,25300,33800,25300,33800,135200
Bellarmine University,Kentucky,KY,Private,4,12250.0,42200,54450,42200,54450,217800
Bellevue College,Washington,WA,Public,2,0.0,4258,4258,9689,9689,8516
Bellevue University,Nebraska,NE,Private,4,8730.0,9390,18120,9390,18120,72480
Bellin College,Wisconsin,WI,Private,4,0.0,22178,22178,22178,22178,88712
Bellingham Technical College,Washington,WA,Public,2,0.0,2790,2790,3460,3460,5580
Belmont Abbey College,North Carolina,NC,Private,4,10355.0,18500,28855,18500,28855,115420
Belmont College,Ohio,OH,Public,2,0.0,4973,4973,8070,8070,9946
Belmont University,Tennessee,TN,Private,4,12120.0,34310,46430,34310,46430,185720
Beloit College,Wisconsin,WI,Private,4,8830.0,50040,58870,50040,58870,235480
Bemidji State University,Minnesota,MN,Public,4,8408.0,8696,17104,8696,17104,68416
Benedict College,South Carolina,SC,Private,4,6200.0,16600,22800,16600,22800,91200
Benedictine College,Kansas,KS,Private,4,10300.0,29530,39830,29530,39830,159320
Benedictine University,Illinois,IL,Private,4,9480.0,34290,43770,34290,43770,175080
Benjamin Franklin Institute of Technology,Massachusetts,MA,Private,2,12400.0,18690,31090,18690,31090,62180
Bennett College for Women,North Carolina,NC,Private,4,8114.0,18513,26627,18513,26627,106508
Bennington College,Vermont,VT,Private,4,15610.0,54360,69970,54360,69970,279880
Bentley University,Massachusetts,MA,Private,4,16320.0,49880,66200,49880,66200,264800
Berea College,Kentucky,KY,Private,4,6764.0,39990,46754,39990,46754,187016
Bergen Community College,New Jersey,NJ,Public,2,0.0,5610,5610,10650,10650,11220
Bergin University of Canine Studies,California,CA,Private,4,0.0,9450,9450,9450,9450,37800
Berkeley City College,California,CA,Public,2,0.0,1432,1432,9622,9622,2864
Berklee College of Music,Massachusetts,MA,Private,4,18180.0,42750,60930,42750,60930,243720
Berkshire Community College,Massachusetts,MA,Public,2,0.0,8569,8569,15589,15589,17138
Berry College,Georgia,GA,Private,4,12770.0,36556,49326,36556,49326,197304
Beth Hatalmud Rabbinical College,New York,NY,Private,4,0.0,11750,11750,11750,11750,47000
Beth Medrash Govoha,New Jersey,NJ,Private,4,4172.0,21388,25560,21388,25560,102240
Bethany College,Kansas,KS,Private,4,10605.0,28475,39080,28475,39080,156320
Bethany College,West Virginia,WV,Private,4,10580.0,29773,40353,29773,40353,161412
Bethany Lutheran College,Minnesota,MN,Private,4,8100.0,27650,35750,27650,35750,143000
Bethel College,Indiana,IN,Private,4,9000.0,28590,37590,28590,37590,150360
Bethel College,Kansas,KS,Private,4,8850.0,28780,37630,28780,37630,150520
Bethel University,Tennessee,TN,Private,4,9198.0,16552,25750,16552,25750,103000
Bethel University,Minnesota,MN,Private,4,10520.0,37300,47820,37300,47820,191280
Bethesda University of California,California,CA,Private,4,0.0,8350,8350,8350,8350,33400
Bethune-Cookman University,Florida,FL,Private,4,9412.0,14814,24226,14814,24226,96904
Beulah Heights University,Georgia,GA,Private,4,6000.0,9880,15880,9880,15880,63520
Beverly Hills Design Institute,California,CA,Private,4,0.0,31060,31060,31060,31060,124240
Bevill State Community College,Alabama,AL,Public,2,1300.0,4770,6070,8640,9940,12140
Big Bend Community College,Washington,WA,Public,2,3537.0,4272,7809,9703,13240,15618
Big Sandy Community and Technical College,Kentucky,KY,Public,2,0.0,5310,5310,18000,18000,10620
Biola University,California,CA,Private,4,10730.0,40488,51218,40488,51218,204872
Birmingham-Southern College,Alabama,AL,Private,4,12350.0,17650,30000,17650,30000,120000
Bishop State Community College,Alabama,AL,Public,2,0.0,4740,4740,8610,8610,9480
Bismarck State College,North Dakota,ND,Public,2,7794.0,4790,12584,6785,14579,25168
Black Hawk College,Illinois,IL,Public,2,0.0,4470,4470,7650,7650,8940
Black Hills State University,South Dakota,SD,Public,4,6978.0,8733,15711,11778,18756,62844
Black River Technical College,Arkansas,AR,Public,2,0.0,3660,3660,6510,6510,7320
Blackburn College,Illinois,IL,Private,4,7930.0,22410,30340,22410,30340,121360
Blackfeet Community College,Montana,MT,Public,2,6787.0,3590,10377,3590,10377,20754
Blackhawk Technical College,Wisconsin,WI,Public,2,0.0,4340,4340,6623,6623,8680
Bladen Community College,North Carolina,NC,Public,2,0.0,2528,2528,8672,8672,5056
Blessing-Rieman College of Nursing & Health Sciences,Illinois,IL,Private,4,0.0,25250,25250,25250,25250,101000
Blinn College,Texas,TX,Public,2,8103.0,3540,11643,10050,18153,23286
Bloomfield College,New Jersey,NJ,Private,4,11950.0,29550,41500,29550,41500,166000
Bloomsburg University of Pennsylvania,Pennsylvania,PA,Public,4,9686.0,10958,20644,22532,32218,82576
Blue Mountain College,Mississippi,MS,Private,4,6294.0,12584,18878,12584,18878,75512
Blue Mountain Community College,Oregon,OR,Public,2,0.0,6188,6188,15908,15908,12376
Blue Ridge Community and Technical College,West Virginia,WV,Public,2,0.0,4128,4128,7464,7464,8256
Blue Ridge Community College,North Carolina,NC,Public,2,0.0,2365,2365,8125,8125,4730
Blue Ridge Community College,Virginia,VA,Public,2,0.0,5364,5364,11292,11292,10728
Bluefield College,Virginia,VA,Private,4,9024.0,25290,34314,25290,34314,137256
Bluefield State College,West Virginia,WV,Public,4,0.0,8820,8820,16920,16920,35280
Bluegrass Community and Technical College,Kentucky,KY,Public,2,0.0,5310,5310,18000,18000,10620
Bluffton University,Ohio,OH,Private,4,10800.0,32766,43566,32766,43566,174264
Bob Jones University,South Carolina,SC,Private,4,6976.0,18150,25126,18150,25126,100504
Boise Bible College,Idaho,ID,Private,4,6200.0,12520,18720,12520,18720,74880
Boise State University,Idaho,ID,Public,4,10692.0,7694,18386,23776,34468,73544
Bolivar Technical College,Missouri,MO,Private,2,0.0,18292,18292,18292,18292,36584
Boricua College,New York,NY,Private,4,0.0,11025,11025,11025,11025,44100
Bossier Parish Community College,Louisiana,LA,Public,2,0.0,4283,4283,8960,8960,8566
Boston Architectural College,Massachusetts,MA,Private,4,13280.0,21894,35174,21894,35174,140696
Boston Baptist College,Massachusetts,MA,Private,4,7810.0,12600,20410,12600,20410,81640
Boston College,Massachusetts,MA,Private,4,14478.0,55464,69942,55464,69942,279768
Boston Conservatory at Berklee,Massachusetts,MA,Private,4,18360.0,46020,64380,46020,64380,257520
Boston University,Massachusetts,MA,Private,4,15720.0,53948,69668,53948,69668,278672
Bowdoin College,Maine,ME,Private,4,14698.0,53922,68620,53922,68620,274480
Bowie State University,Maryland,MD,Public,4,10904.0,8233,19137,18873,29777,76548
Bowling Green State University,Ohio,OH,Public,4,9168.0,11105,20273,19093,28261,81092
Bowling Green State University: Firelands College,Ohio,OH,Public,2,0.0,4912,4912,12901,12901,9824
Bradley University,Illinois,IL,Private,4,10620.0,33760,44380,33760,44380,177520
Brandeis University,Massachusetts,MA,Private,4,15440.0,55395,70835,55395,70835,283340
Brandman University,California,CA,Private,4,0.0,15380,15380,15380,15380,61520
Brazosport College,Texas,TX,Public,2,0.0,2715,2715,5355,5355,5430
Brenau University,Georgia,GA,Private,4,12418.0,29050,41468,29050,41468,165872
Brescia University,Kentucky,KY,Private,4,9200.0,22400,31600,22400,31600,126400
Brevard College,North Carolina,NC,Private,4,9900.0,29350,39250,29350,39250,157000
Brewton-Parker College,Georgia,GA,Private,4,7850.0,18690,26540,18690,26540,106160
Briar Cliff University,Iowa,IA,Private,4,9020.0,31964,40984,31964,40984,163936
BridgeValley Community and Technical College,West Virginia,WV,Public,2,0.0,5460,5460,13020,13020,10920
Bridgewater College,Virginia,VA,Private,4,12720.0,35160,47880,35160,47880,191520
Bridgewater State University,Massachusetts,MA,Public,4,13090.0,10367,23457,16507,29597,93828
Brigham Young University,Utah,UT,Private,4,7628.0,5620,13248,5620,13248,52992
Brigham Young University-Hawaii,Hawaii,HI,Private,4,6586.0,5560,12146,5560,12146,48584
Brigham Young University-Idaho,Idaho,ID,Private,4,4592.0,4118,8710,4118,8710,34840
Bristol Community College,Massachusetts,MA,Public,2,0.0,5970,5970,12150,12150,11940
Brookdale Community College,New Jersey,NJ,Public,2,0.0,5216,5216,9281,9281,10432
Brookhaven College,Texas,TX,Public,2,0.0,1770,1770,5220,5220,3540
Broome Community College,New York,NY,Public,2,11818.0,5482,17300,10210,22028,34600
Broward College,Florida,FL,Public,2,0.0,3540,3540,11190,11190,7080
Brown University,Rhode Island,RI,Private,4,14670.0,55656,70326,55656,70326,281304
Brunswick Community College,North Carolina,NC,Public,2,0.0,2380,2380,8140,8140,4760
Bryan College of Health Sciences,Nebraska,NE,Private,4,0.0,18270,18270,18270,18270,73080
Bryan College: Dayton,Tennessee,TN,Private,4,7500.0,26800,34300,26800,34300,137200
Bryan University: Rogers,Arkansas,AR,For Profit,2,0.0,10230,10230,10230,10230,20460
Bryant University,Rhode Island,RI,Private,4,15702.0,43973,59675,43973,59675,238700
Bryn Athyn College,Pennsylvania,PA,Private,4,11886.0,22815,34701,22815,34701,138804
Bryn Mawr College,Pennsylvania,PA,Private,4,16500.0,52360,68860,52360,68860,275440
Bucknell University,Pennsylvania,PA,Private,4,13662.0,56092,69754,56092,69754,279016
Bucks County Community College,Pennsylvania,PA,Public,2,1500.0,5660,7160,14660,16160,14320
Buena Vista University,Iowa,IA,Private,4,9538.0,34004,43542,34004,43542,174168
Bunker Hill Community College,Massachusetts,MA,Public,2,0.0,5580,5580,11760,11760,11160
Butler Community College,Kansas,KS,Public,2,5950.0,3180,9130,5310,11260,18260
Butler County Community College,Pennsylvania,PA,Public,2,0.0,4950,4950,10950,10950,9900
Butler University,Indiana,IN,Private,4,13830.0,41120,54950,41120,54950,219800
Butte College,California,CA,Public,2,0.0,1498,1498,8518,8518,2996
Cabarrus College of Health Sciences,North Carolina,NC,Private,4,0.0,13194,13194,13194,13194,52776
Cabrillo College,California,CA,Public,2,0.0,1500,1500,9300,9300,3000
Cabrini University,Pennsylvania,PA,Private,4,12266.0,31920,44186,31920,44186,176744
Cairn University,Pennsylvania,PA,Private,4,10294.0,27279,37573,27279,37573,150292
Caldwell Community College and Technical Institute,North Carolina,NC,Public,2,0.0,2356,2356,8116,8116,4712
Caldwell University,New Jersey,NJ,Private,4,12025.0,34715,46740,34715,46740,186960
Calhoun Community College,Alabama,AL,Public,2,0.0,4840,4840,8690,8690,9680
California Baptist University,California,CA,Private,4,12160.0,33478,45638,33478,45638,182552
California Christian College,California,CA,Private,4,4950.0,9570,14520,9570,14520,58080
California Coast University,California,CA,For Profit,4,0.0,4500,4500,4500,4500,18000
California College of the Arts,California,CA,Private,4,10136.0,49138,59274,49138,59274,237096
California Institute of Integral Studies,California,CA,Private,4,0.0,20230,20230,20230,20230,80920
California Institute of Technology,California,CA,Private,4,15525.0,52362,67887,52362,67887,271548
California Institute of the Arts,California,CA,Private,4,12069.0,49276,61345,49276,61345,245380
California Lutheran University,California,CA,Private,4,13779.0,42693,56472,42693,56472,225888
California Maritime Academy,California,CA,Public,4,12576.0,7135,19711,13273,25849,78844
California Miramar University,California,CA,Private,4,0.0,12180,12180,12180,12180,48720
California Northstate University College of Health Sciences,California,CA,Private,4,0.0,32500,32500,32500,32500,130000
California Polytechnic State University: San Luis Obispo,California,CA,Public,4,13796.0,9816,23612,21696,35492,94448
California State Polytechnic University: Pomona,California,CA,Public,4,17358.0,7353,24711,19233,36591,98844
California State University: Bakersfield,California,CA,Public,4,13746.0,7147,20893,19027,32773,83572
California State University: Channel Islands,California,CA,Public,4,16954.0,6817,23771,18697,35651,95084
California State University: Chico,California,CA,Public,4,12980.0,7618,20598,17122,30102,82392
California State University: Dominguez Hills,California,CA,Public,4,12540.0,6837,19377,18717,31257,77508
California State University: East Bay,California,CA,Public,4,13980.0,6834,20814,18714,32694,83256
California State University: Fresno,California,CA,Public,4,10587.0,6585,17172,18465,29052,68688
California State University: Fullerton,California,CA,Public,4,15898.0,6870,22768,18750,34648,91072
California State University: Long Beach,California,CA,Public,4,13312.0,6798,20110,18678,31990,80440
California State University: Los Angeles,California,CA,Public,4,13407.0,6639,20046,18519,31926,80184
California State University: Monterey Bay,California,CA,Public,4,12234.0,7143,19377,19023,31257,77508
California State University: Northridge,California,CA,Public,4,11122.0,6888,18010,17622,28744,72040
California State University: Sacramento,California,CA,Public,4,14396.0,7204,21600,19084,33480,86400
California State University: San Bernardino,California,CA,Public,4,12711.0,6656,19367,13064,25775,77468
California State University: San Marcos,California,CA,Public,4,13227.0,7648,20875,19166,32393,83500
California State University: Stanislaus,California,CA,Public,4,10542.0,7076,17618,20290,30832,70472
California University of Management and Sciences,California,CA,Private,4,0.0,10410,10410,10410,10410,41640
California University of Pennsylvania,Pennsylvania,PA,Public,4,10186.0,11108,21294,14966,25152,85176
Calumet College of St. Joseph,Indiana,IN,Private,4,0.0,19870,19870,19870,19870,79480
Calvary University,Missouri,MO,Private,4,5492.0,11164,16656,11164,16656,66624
Calvin College,Michigan,MI,Private,4,10200.0,34600,44800,34600,44800,179200
Cambridge College,Massachusetts,MA,Private,4,0.0,13040,13040,13040,13040,52160
Camden County College,New Jersey,NJ,Public,2,0.0,4320,4320,4440,4440,8640
Cameron University,Oklahoma,OK,Public,4,5452.0,6450,11902,15870,21322,47608
